candidate_id,source_review_policy,corrector_model,feature_set,action_mode,threshold,scope,n,baseline_adaptive_review_n,baseline_adaptive_review_rate,auto_action_n,auto_action_rate,true_correction_n,agreement_release_n,remaining_review_n,remaining_review_rate,action_error_n,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_raw_errors,system_errors_after_review,base_balanced_accuracy_before_review,accuracy,balanced_accuracy,f1,sensitivity_high,specificity_low,tn,fp,fn,tp,auc
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.500,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.5,old_data,285,154,0.5403508771929825,154,0.5403508771929825,0,154,0,0.0,1,0,0,0,0,0,0,1,1,0.9965277777777778,0.9964912280701754,0.9965277777777778,0.9964664310954063,1.0,0.9930555555555556,143,1,0,141,0.8737687155240348
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.500,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.5,third_batch,306,164,0.5359477124183006,164,0.5359477124183006,0,164,0,0.0,8,0,0,0,0,0,0,9,9,0.9528527874564461,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.9146341463414634,0.9910714285714286,222,2,7,75,0.818270905923345
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.500,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.5,strict_external,108,94,0.8703703703703703,94,0.8703703703703703,0,94,0,0.0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,0.67317753749564
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.500,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.5,all_domains,699,412,0.5894134477825465,412,0.5894134477825465,0,412,0,0.0,9,0,0,0,0,0,0,10,10,0.9835405335405336,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.9740740740740741,0.993006993006993,426,3,7,263,0.8353017353017353
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.600,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.6,old_data,285,154,0.5403508771929825,154,0.5403508771929825,0,154,0,0.0,1,0,0,0,0,0,0,1,1,0.9965277777777778,0.9964912280701754,0.9965277777777778,0.9964664310954063,1.0,0.9930555555555556,143,1,0,141,0.8737687155240348
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.600,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.6,third_batch,306,164,0.5359477124183006,164,0.5359477124183006,0,164,0,0.0,8,0,0,0,0,0,0,9,9,0.9528527874564461,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.9146341463414634,0.9910714285714286,222,2,7,75,0.818270905923345
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.600,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.6,strict_external,108,94,0.8703703703703703,94,0.8703703703703703,0,94,0,0.0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,0.67317753749564
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.600,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.6,all_domains,699,412,0.5894134477825465,412,0.5894134477825465,0,412,0,0.0,9,0,0,0,0,0,0,10,10,0.9835405335405336,0.9856938483547926,0.9835405335405336,0.9813432835820896,0.9740740740740741,0.993006993006993,426,3,7,263,0.8353017353017353
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.700,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.7,old_data,285,154,0.5403508771929825,154,0.5403508771929825,0,154,0,0.0,1,0,0,0,0,0,0,1,1,0.9965277777777778,0.9964912280701754,0.9965277777777778,0.9964664310954063,1.0,0.9930555555555556,143,1,0,141,0.8737687155240348
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.700,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.7,third_batch,306,164,0.5359477124183006,164,0.5359477124183006,0,164,0,0.0,8,0,0,0,0,0,0,9,9,0.9528527874564461,0.9705882352941176,0.9528527874564461,0.9433962264150944,0.9146341463414634,0.9910714285714286,222,2,7,75,0.818270905923345
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.700,v118_review_or_control,tabular_logreg_c1,tabular,agreement_release_only,0.7,strict_external,108,94,0.8703703703703703,94,0.8703703703703703,0,94,0,0.0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,61,0,0,47,0.67317753749564
