candidate_id,review_policy,model,threshold,candidate_release_n,additional_release_n,all_folds_train_zero_error,folds_train_zero_error_count,min_train_additional_release_n,mean_train_additional_release_n,total_internal_additional_release_n,total_internal_additional_error_n,total_external_additional_release_n,total_external_additional_error_n,heldout_additional_release_n,heldout_additional_error_n
v118_review_or_control||tabular_logreg_c1||0.50,v118_review_or_control,tabular_logreg_c1,0.5,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_logreg_c1||0.55,v118_review_or_control,tabular_logreg_c1,0.55,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_logreg_c1||0.60,v118_review_or_control,tabular_logreg_c1,0.6,559,402,False,0,255,262.4,328,9,74,0,328,9
v118_review_or_control||tabular_logreg_c1||0.65,v118_review_or_control,tabular_logreg_c1,0.65,557,401,False,0,254,261.6,327,9,74,0,327,9
v118_review_or_control||tabular_logreg_c1||0.70,v118_review_or_control,tabular_logreg_c1,0.7,556,401,False,0,254,261.6,327,9,74,0,327,9
v118_review_or_control||tabular_logreg_c1||0.75,v118_review_or_control,tabular_logreg_c1,0.75,556,401,False,0,254,261.6,327,9,74,0,327,9
v118_review_or_control||tabular_logreg_c1||0.80,v118_review_or_control,tabular_logreg_c1,0.8,556,401,False,0,254,261.6,327,9,74,0,327,9
v118_review_or_control||tabular_logreg_c1||0.85,v118_review_or_control,tabular_logreg_c1,0.85,551,397,False,0,251,258.4,323,8,74,0,323,8
v118_review_or_control||tabular_logreg_c1||0.90,v118_review_or_control,tabular_logreg_c1,0.9,529,384,False,0,242,248.0,310,6,74,0,310,6
v118_review_or_control||tabular_logreg_c1||0.95,v118_review_or_control,tabular_logreg_c1,0.95,421,333,False,0,201,208.0,260,4,73,0,260,4
v161_final_review_or_reject||tabular_logreg_c1||0.50,v161_final_review_or_reject,tabular_logreg_c1,0.5,402,402,False,0,255,262.4,328,9,74,0,328,9
v161_final_review_or_reject||tabular_logreg_c1||0.55,v161_final_review_or_reject,tabular_logreg_c1,0.55,402,402,False,0,255,262.4,328,9,74,0,328,9
