candidate_id,action_mode,threshold,all_train_complements_zero_action_error,all_train_complements_have_true_correction,min_train_auto_action_n,min_train_true_correction_n,heldout_auto_action_n,heldout_true_correction_n,heldout_action_error_n,heldout_rescued_n,heldout_hurt_n
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.500,agreement_release_only,0.5,False,False,247,0,318,0,9,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.600,agreement_release_only,0.6,False,False,247,0,318,0,9,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.700,agreement_release_only,0.7,False,False,247,0,318,0,9,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.800,agreement_release_only,0.8,False,False,247,0,318,0,9,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.850,agreement_release_only,0.85,False,False,244,0,314,0,8,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.900,agreement_release_only,0.9,False,False,234,0,301,0,6,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.925,agreement_release_only,0.925,False,False,222,0,283,0,5,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.950,agreement_release_only,0.95,False,False,197,0,251,0,4,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.975,agreement_release_only,0.975,False,False,131,0,173,0,2,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.985,agreement_release_only,0.985,False,False,81,0,113,0,2,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.990,agreement_release_only,0.99,False,False,50,0,71,0,2,0,0
v118_review_or_control||tabular_logreg_c1||agreement_release_only||0.995,agreement_release_only,0.995,True,False,8,0,13,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.500,correction_only,0.5,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.600,correction_only,0.6,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.700,correction_only,0.7,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.800,correction_only,0.8,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.850,correction_only,0.85,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.900,correction_only,0.9,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.925,correction_only,0.925,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.950,correction_only,0.95,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.975,correction_only,0.975,False,False,0,0,0,0,0,0,0
v118_review_or_control||tabular_logreg_c1||correction_only||0.985,correction_only,0.985,False,False,0,0,0,0,0,0,0
