candidate_id,review_policy,model,feature_set,threshold,old_data_action_n,old_data_action_error_n,third_batch_action_n,third_batch_action_error_n,strict_external_action_n,strict_external_action_error_n
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.500,v118_review_or_control,dino_pca128_logreg_c01,dino,0.5,54,1,82,5,47,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.600,v118_review_or_control,dino_pca128_logreg_c01,dino,0.6,46,1,65,5,40,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.700,v118_review_or_control,dino_pca128_logreg_c01,dino,0.7,34,0,50,4,38,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.800,v118_review_or_control,dino_pca128_logreg_c01,dino,0.8,28,0,42,2,25,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.850,v118_review_or_control,dino_pca128_logreg_c01,dino,0.85,22,0,33,2,20,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.900,v118_review_or_control,dino_pca128_logreg_c01,dino,0.9,16,0,23,2,12,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.925,v118_review_or_control,dino_pca128_logreg_c01,dino,0.925,13,0,20,2,10,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.950,v118_review_or_control,dino_pca128_logreg_c01,dino,0.95,9,0,13,1,9,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.975,v118_review_or_control,dino_pca128_logreg_c01,dino,0.975,3,0,6,0,3,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.985,v118_review_or_control,dino_pca128_logreg_c01,dino,0.985,2,0,5,0,2,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.990,v118_review_or_control,dino_pca128_logreg_c01,dino,0.99,1,0,3,0,2,0
v118_review_or_control||dino_pca128_logreg_c01||agreement_release_only||0.995,v118_review_or_control,dino_pca128_logreg_c01,dino,0.995,0,0,2,0,2,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.500,v118_review_or_control,dino_pca64_logreg_c03,dino,0.5,62,0,86,5,58,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.600,v118_review_or_control,dino_pca64_logreg_c03,dino,0.6,45,0,66,3,42,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.700,v118_review_or_control,dino_pca64_logreg_c03,dino,0.7,28,0,43,2,26,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.800,v118_review_or_control,dino_pca64_logreg_c03,dino,0.8,5,0,23,1,12,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.850,v118_review_or_control,dino_pca64_logreg_c03,dino,0.85,1,0,14,1,7,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.900,v118_review_or_control,dino_pca64_logreg_c03,dino,0.9,0,0,0,0,3,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.925,v118_review_or_control,dino_pca64_logreg_c03,dino,0.925,0,0,0,0,3,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.950,v118_review_or_control,dino_pca64_logreg_c03,dino,0.95,0,0,0,0,3,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.975,v118_review_or_control,dino_pca64_logreg_c03,dino,0.975,0,0,0,0,1,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.985,v118_review_or_control,dino_pca64_logreg_c03,dino,0.985,0,0,0,0,1,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.990,v118_review_or_control,dino_pca64_logreg_c03,dino,0.99,0,0,0,0,1,0
v118_review_or_control||dino_pca64_logreg_c03||agreement_release_only||0.995,v118_review_or_control,dino_pca64_logreg_c03,dino,0.995,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.500,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.5,133,1,137,8,74,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.600,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.6,10,0,25,1,8,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.700,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.7,0,0,1,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.800,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.8,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.850,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.85,0,0,0,0,0,0
v118_review_or_control||tabular_dino_extra_trees_d4||agreement_release_only||0.900,v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.9,0,0,0,0,0,0
