target_dev_bacc,group_col,group_value,n,review_n,review_rate,p2_wrong_n,captured_p2_wrong_n,missed_p2_wrong_n,p2_wrong_capture_rate,review_precision_vs_p2_error
0.85,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.85,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.85,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.85,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.85,task_l6_label,B2,28,0,0.0,12,0,12,0.0,
0.85,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.85,task_l6_label,B3,10,0,0.0,0,0,0,,
0.85,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.85,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.88,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.88,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.88,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.88,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.88,task_l6_label,B2,28,0,0.0,12,0,12,0.0,
0.88,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.88,task_l6_label,B3,10,0,0.0,0,0,0,,
0.88,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.88,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.9,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.9,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.9,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.9,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.9,task_l6_label,B2,28,0,0.0,12,0,12,0.0,
0.9,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.9,task_l6_label,B3,10,0,0.0,0,0,0,,
0.9,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.9,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.92,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.92,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.92,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.92,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.92,task_l6_label,B2,28,0,0.0,12,0,12,0.0,
0.92,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.92,task_l6_label,B3,10,0,0.0,0,0,0,,
0.92,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.92,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.95,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.95,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.95,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.95,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.95,task_l6_label,B2,28,0,0.0,12,0,12,0.0,
0.95,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.95,task_l6_label,B3,10,0,0.0,0,0,0,,
0.95,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.95,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.97,task_l6_label,A,8,0,0.0,3,0,3,0.0,
0.97,task_l6_label,AB,39,0,0.0,12,0,12,0.0,
0.97,task_l6_label,B1,11,0,0.0,2,0,2,0.0,
0.97,task_l6_label,B1_B2_mixed,1,0,0.0,0,0,0,,
0.97,task_l6_label,B2,28,0,0.0,12,0,12,0.0,
0.97,task_l6_label,B2_B3_mixed,3,0,0.0,2,0,2,0.0,
0.97,task_l6_label,B3,10,0,0.0,0,0,0,,
0.97,task_l6_label,MNT_assumed_low,3,0,0.0,0,0,0,,
0.97,task_l6_label,TC,5,0,0.0,1,0,1,0.0,
0.85,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.85,quality_status,pass,40,0,0.0,14,0,14,0.0,
0.85,quality_status,reject,1,0,0.0,0,0,0,,
0.85,quality_status,,1,0,0.0,0,0,0,,
0.88,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.88,quality_status,pass,40,0,0.0,14,0,14,0.0,
0.88,quality_status,reject,1,0,0.0,0,0,0,,
0.88,quality_status,,1,0,0.0,0,0,0,,
0.9,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.9,quality_status,pass,40,0,0.0,14,0,14,0.0,
0.9,quality_status,reject,1,0,0.0,0,0,0,,
0.9,quality_status,,1,0,0.0,0,0,0,,
0.92,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.92,quality_status,pass,40,0,0.0,14,0,14,0.0,
0.92,quality_status,reject,1,0,0.0,0,0,0,,
0.92,quality_status,,1,0,0.0,0,0,0,,
0.95,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.95,quality_status,pass,40,0,0.0,14,0,14,0.0,
0.95,quality_status,reject,1,0,0.0,0,0,0,,
0.95,quality_status,,1,0,0.0,0,0,0,,
0.97,quality_status,borderline,66,0,0.0,18,0,18,0.0,
0.97,quality_status,pass,40,0,0.0,14,0,14,0.0,
0.97,quality_status,reject,1,0,0.0,0,0,0,,
0.97,quality_status,,1,0,0.0,0,0,0,,
0.85,manual_quality_status_v1,borderline_review,8,0,0.0,2,0,2,0.0,
0.85,manual_quality_status_v1,pass_readable,79,0,0.0,23,0,23,0.0,
0.85,manual_quality_status_v1,reject_retake,21,0,0.0,7,0,7,0.0,
0.88,manual_quality_status_v1,borderline_review,8,0,0.0,2,0,2,0.0,
